APN,totVal_m2,area_m2,LU_Desc,yrBuilt,taxAmt,assdsYr,assdLndVal,assdImpVal,assdTotVal,bestRectL,bestRectW,bestRectA,bestScore,area_sqf,adu_type,lng,lat,address
063252290,878.4419405,539.4619475,Single Family Residential,1949,6535.16,2015,236943,236943,473886,13.29416315,9.960553932,132.417229,0.692,5806.714456695249,attached,-122.13514322,37.46796355,"2271 Clarke Ave, East Palo Alto, CA 94303, USA"
063331220,947.6700057,566.232968,Single Family Residential,1948,7152.84,2015,268301,268301,536602,16.81301553,8.125571654,136.6153624,0.923,6094.8750442552,attached,-122.14061168,37.46765452,"2277 Capitol Ave, East Palo Alto, CA 94303, USA"
063172020,277.9719542,382.6033468,Single Family Residential,1950,2554.48,2015,51460,54893,106353,12.85447585,5.008350903,64.37972572,-1,4118.30416462052,none,-122.14778101,37.46753499,"2204 Addison Ave, East Palo Alto, CA 94303, USA"
063171010,81.87432025,455.2343139,Single Family Residential,1950,2381.26,2015,9268,28004,37272,20.40818383,6.365587622,129.9100824,0.385,4900.09663138821,none,-122.14863098,37.46752146,"203 Garden St, East Palo Alto, CA 94303, USA"
063151100,562.0257419,464.5178691,Single Family Residential,1950,4230.2,2015,152292,108779,261071,11.18147153,5.113626422,57.17786828,-1,5000.023891205489,none,-122.15007959,37.46731357,"2191 Poplar Ave, East Palo Alto, CA 94303, USA"
063173160,243.6019677,561.8263321,Single Family Residential,1948,2807.94,2015,42868,93994,136862,12.69422765,11.57093692,146.8841074,0.615,6047.442456091189,attached,-122.1466426,37.4673326,"2245 Dumbarton Ave, East Palo Alto, CA 94303, USA"
063332560,775.0437357,478.3394574,Single Family Residential,1978,5340.98,2015,261696,109038,370734,13.30681322,8.476889346,112.8003832,0.692,5148.79808550786,none,-122.13966698,37.4674831,"2269 Cooley Ave, East Palo Alto, CA 94303, USA"
063361490,292.4065382,855.7708784,Single Family Residential,1994,4112.8,2015,55692,194541,250233,20.61904284,7.526278101,155.1846506,0.75,9211.43215800976,detached,-122.13682807000001,37.46748322,"817 Schembri Ln, East Palo Alto, CA 94303, USA"
063361230,116.0528342,651.4360508,Single Family Residential,1952,2144.42,2015,8757,66844,75601,12.46911904,11.6836856,145.6852665,0.615,7011.99250720612,attached,-122.13880008,37.46712522,"725 Schembri Ln, East Palo Alto, CA 94303, USA"
063381210,51.63072002,1076.66521,Single Family Residential,1933,1927.68,2015,9742,45847,55589,0,0,0,0,11589.116653918998,detached,-122.12901101,37.46725829,"1175 Garden St, East Palo Alto, CA 94303, USA"
063361090,111.2629175,515.3109526,Single Family Residential,1961,1946.58,2015,9268,48067,57335,18.62470604,5.086133607,94.72774332,-1,5546.755562691139,attached,-122.13629267,37.46719976,"845 Schembri Ln, East Palo Alto, CA 94303, USA"
063341100,977.5107162,609.1288721,Single Family Residential,1963,7851.6,2015,297715,297715,595430,14.53893663,7.501086249,109.0578176,0.577,6556.602266397189,attached,-122.13093098,37.46735943,"2315 Connolly Way, East Palo Alto, CA 94303, USA"
063361410,899.8509248,539.464912,Single Family Residential,1979,6660.28,2015,242719,242719,485438,12.70306073,10.17226721,129.2189282,0.615,5806.7463662768005,attached,-122.13786655,37.46715265,"769 Schembri Ln, East Palo Alto, CA 94303, USA"
063361120,1070.388606,507.4400054,Single Family Residential,1958,7285.44,2015,137058,406100,543158,20.40818383,6.365587622,129.9100824,0.385,5462.03347412506,none,-122.13646289,37.46719509,"835 Schembri Ln, East Palo Alto, CA 94303, USA"
063341490,473.6511232,479.2430311,Single Family Residential,1953,3861.12,2015,113497,113497,226994,18.62470604,5.086133607,94.72774332,-1,5158.52406245729,none,-122.13052522,37.46736897,"2255 Pulgas Ave, East Palo Alto, CA 94303, USA"
063331250,281.63602,549.8479917,Single Family Residential,1947,3105.38,2015,42225,112632,154857,20.40818383,6.365587622,129.9100824,0.385,5918.508797859629,attached,-122.1406536,37.4672294,"2255 Capitol Ave, East Palo Alto, CA 94303, USA"
063195170,1117.523149,483.6230915,Single Family Residential,1948,7256.2,2015,270230,270230,540460,18.62470604,5.062647329,94.29031829,-1,5205.67059459685,none,-122.1443486,37.46714081,"2249 Glen Way, East Palo Alto, CA 94303, USA"
063182080,399.8224955,466.8021487,Single Family Residential,1938,3424.04,2015,93319,93319,186638,14.5143242,6.641542229,96.39749711,0.577,5024.6116483919295,none,-122.14613162,37.46711804,"2240 Dumbarton Ave, East Palo Alto, CA 94303, USA"
063302380,373.5793339,869.0951841,Single Family Residential,1919,4919.1,2015,162338,162338,324676,20.40818383,6.365587622,129.9100824,0.385,9354.85365213399,detached,-122.14280156,37.46714656,"2248 Euclid Ave, East Palo Alto, CA 94303, USA"
063332110,472.9510047,527.5810761,Single Family Residential,1949,4028.1,2015,124760,124760,249520,18.62470604,5.062647329,94.29031829,-1,5678.82994503279,attached,-122.14004679,37.46723137,"2258 Capitol Ave, East Palo Alto, CA 94303, USA"
063198100,346.257953,718.9986478,Single Family Residential,1949,4022.04,2015,132426,116533,248959,20.14646535,7.863372945,158.4191706,1,7739.229545054419,detached,-122.14383273,37.46710106,"2246 Glen Way, East Palo Alto, CA 94303, USA"
063186090,183.8811029,955.6283775,Single Family Residential,1947,3228.82,2015,87861,87861,175722,16.6639135,9.099122883,151.6269966,0.923,10286.28829257225,detached,-122.14487566,37.46672616,"420 Garden St, East Palo Alto, CA 94303, USA"
063341180,794.2803206,575.7954568,Single Family Residential,1946,7429.02,2015,212585,244758,457343,18.62470604,5.062647329,94.29031829,-1,6197.80471744952,attached,-122.13310069,37.46706417,"983 Garden St, East Palo Alto, CA 94303, USA"
063362350,111.1782516,468.6707988,Single Family Residential,1963,1966.92,2015,9268,42838,52106,15.71782797,6.080574923,95.57343062,0.389,5044.72561120332,none,-122.13771503,37.46672835,"770 Schembri Ln, East Palo Alto, CA 94303, USA"
063362340,452.5821835,466.4390418,Single Family Residential,1963,3689,2015,80026,131076,211102,15.60008307,5.714448505,89.14587137,0.389,5020.70320203102,none,-122.13789933,37.46672121,"760 Schembri Ln, East Palo Alto, CA 94303, USA"
063362510,215.8465353,932.0696287,Single Family Residential,1979,3208.6,2015,49466,151718,201184,16.28820019,10.82467286,176.3144386,0.846,10032.70427636393,detached,-122.13810181,37.4666325,"750 Schembri Ln, East Palo Alto, CA 94303, USA"
063186170,275.4656187,940.4295214,Single Family Residential,1950,4174.18,2015,129528,129528,259056,17.30006886,8.350237131,144.4596774,0.923,10122.68932539746,detached,-122.14415051,37.46606023,"467 Bell St, East Palo Alto, CA 94303, USA"
063155090,83.76631372,456.0783244,Single Family Residential,1950,1816.36,2015,9268,28936,38204,13.81955554,7.757458052,107.2046224,0.692,4909.181476009159,none,-122.147258,37.466024,"300 Bell St, East Palo Alto, CA 94303, USA"
063186010,341.8042035,527.1380461,Single Family Residential,1947,3277.08,2015,90089,90089,180178,13.45560268,5.231539224,70.39351321,0.192,5674.061214415789,attached,-122.14550064,37.46604827,"415 Bell St, East Palo Alto, CA 94303, USA"
063331030,594.8965744,812.9009659,Single Family Residential,1950,6640.28,2015,376416,107176,483592,14.25849148,14.08236845,200.7933305,0.769,8749.98470685101,detached,-122.14115434,37.46612972,"2220-B University Ave, East Palo Alto, CA 94303, USA"
063192080,794.4464226,542.2379505,Single Family Residential,1952,6643.28,2015,272344,158435,430779,6.668930148,6.539424031,43.61096207,-1,5836.59507538695,attached,-122.14494274,37.46937206,"2359 Palo Verde Ave, East Palo Alto, CA 94303, USA"
063253020,18.42757935,1735.008131,Single Family Residential,1953,1748.86,2015,12473,19499,31972,15.26161665,14.33743216,218.8123934,0.846,18675.4540212709,detached,-122.13752101,37.46894304,"785 Runnymede St, East Palo Alto, CA 94303, USA"
063161300,705.4004057,464.5191544,Single Family Residential,1950,4874.58,2015,163836,163836,327672,14.28256309,7.269468315,103.8266398,0.577,5000.03772604616,none,-122.14967729,37.46906929,"2261 Poplar Ave, East Palo Alto, CA 94303, USA"
063253510,199.3491088,1889.945745,Single Family Residential,1947,5981.22,2015,109957,266802,376759,17.18908514,15.17362615,260.8207519,0.923,20343.187004605497,detached,-122.13776784,37.46893782,"765 Runnymede St, East Palo Alto, CA 94303, USA"
063162320,466.469053,466.5732884,Single Family Residential,1947,3682.86,2015,108821,108821,217642,8.21224916,4.995737155,41.02623825,-1,5022.14821900876,none,-122.14879944,37.46907873,"2269 Ralmar Ave, East Palo Alto, CA 94303, USA"
062243280,483.3475863,625.6243097,Single Family Residential,1952,5075.76,2015,151197,151197,302394,15.42791589,9.848009685,151.9342651,0.846,6734.15750717983,attached,-122.15111963,37.46884867,"1020 Bradley Way, East Palo Alto, CA 94303, USA"
062221130,357.8489553,619.2221515,Single Family Residential,1949,4123.58,2015,110794,110794,221588,12.55149463,9.591236459,120.3843529,0.615,6665.24531653085,attached,-122.15324577,37.46872129,"215 Holland St, East Palo Alto, CA 94303, USA"
063192010,37.2535372,562.4432356,Single Family Residential,1944,1629.52,2015,9268,11685,20953,13.30681322,9.33716295,124.2478833,0.692,6054.08274367484,attached,-122.14591746,37.46882483,"2300 Dumbarton Ave, East Palo Alto, CA 94303, USA"
063172120,490.0465577,379.8047289,Single Family Residential,1953,3418.44,2015,93061,93061,186122,8.447894281,7.505757786,63.40784828,0.288,4088.1801214067095,none,-122.14747135,37.46888679,"2248 Addison Ave, East Palo Alto, CA 94303, USA"
063264180,67.24721987,540.2305117,Single Family Residential,1953,1719.08,2015,9268,27061,36329,17.06957863,6.293595191,107.4290179,0.389,5814.98720488763,attached,-122.13107867,37.469066840000004,"1049 Ruth Ct, East Palo Alto, CA 94303, USA"
063171390,854.479055,460.032341,Single Family Residential,1934,5660.04,2015,196544,196544,393088,13.79467601,8.104838714,111.8036241,0.692,4951.7421152899,none,-122.1480133,37.46868797,"2229 Addison Ave, East Palo Alto, CA 94303, USA"
063253060,121.6804202,727.684864,Single Family Residential,1914,2299.24,2015,33907,54638,88545,15.18286372,12.29245199,186.6346233,0.769,7832.727107609599,detached,-122.13525753,37.46878032,"895 Runnymede St, East Palo Alto, CA 94303, USA"
063253070,1017.240057,513.0293451,Single Family Residential,1954,7054.9,2015,260937,260937,521874,8.094452329,5.832234498,47.20874412,0.192,5522.19656772189,attached,-122.13505891,37.46880569,"2305 Clarke Ave, East Palo Alto, CA 94303, USA"
063264360,541.7067923,528.0753427,Single Family Residential,1933,4500.86,2015,143031,143031,286062,13.44309263,10.85894359,145.9777845,0.692,5684.150181288529,attached,-122.13065591,37.46886896,"1067 Runnymede St, East Palo Alto, CA 94303, USA"
063264330,691.097987,517.4302439,Single Family Residential,1954,5275.64,2015,142357,215238,357595,13.3378603,6.433506673,85.80921322,0.519,5569.5674023152105,attached,-122.13047191,37.46887543,"2305 Pulgas Ave, East Palo Alto, CA 94303, USA"
063271440,846.573871,601.5990068,Single Family Residential,1951,6918.7,2015,254649,254649,509298,9.532582881,5.832234498,55.59625874,0.192,6475.55154929452,attached,-122.12914653,37.46890203,"1191 Runnymede St, East Palo Alto, CA 94303, USA"
063162070,563.0548805,443.15396,Single Family Residential,1929,4105.08,2015,124760,124760,249520,8.107433231,5.125950081,41.55829803,-1,4770.064910044,none,-122.149292,37.4684578,"2248 Poplar Ave, East Palo Alto, CA 94303, USA"
063172390,148.9349661,513.6067237,Single Family Residential,1950,2231.08,2015,34424,42070,76494,9.048904458,7.858913987,71.11456181,0.385,5528.411413234429,attached,-122.14727546,37.46846474,"2301 Oakwood Dr, East Palo Alto, CA 94303, USA"
063172090,754.2464404,388.3080971,Single Family Residential,1991,4497.74,2015,146440,146440,292880,13.91056779,6.781511477,94.33467514,0.519,4179.70952637469,none,-122.14756374,37.46848329,"2234 Addison Ave, East Palo Alto, CA 94303, USA"
063171090,911.2175323,226.4596462,Single Family Residential,1961,3560.6,2015,103177,103177,206354,9.402257145,5.832234498,54.83616849,0.192,2437.58898573218,none,-122.14840656,37.46850193,"2236 Ralmar Ave, East Palo Alto, CA 94303, USA"
063196150,1178.413345,484.1119648,Single Family Residential,1982,6570.7,2015,285242,285242,570484,14.88112093,5.113626422,76.09649319,-1,5210.93277791072,none,-122.14485205,37.46844996,"409 Oakdale Ave, East Palo Alto, CA 94303, USA"
063262380,184.5002995,670.2915949,Single Family Residential,1920,2565.04,2015,49466,74203,123669,15.83779617,6.293595191,99.67667784,0.389,7214.951698344109,attached,-122.13453938,37.46840416,"2288 Clarke Ave, East Palo Alto, CA 94303, USA"
062243230,106.0485434,664.6013018,Single Family Residential,1953,2190.98,2015,9553,60927,70480,17.14334551,5.008350903,85.85988999,-1,7153.70195244502,attached,-122.15136106,37.46814125,"1002 Bradley Way, East Palo Alto, CA 94303, USA"
063650070,1779.660449,413.1271224,Single Family Residential,2000,9288.72,2015,367613,367613,735226,15.70578075,5.84544184,91.80722794,0.389,4446.85903280136,none,-122.12915945,37.46825712,"1166 Veronica Ct, East Palo Alto, CA 94303, USA"
063161380,729.4279468,461.2354126,Single Family Residential,1947,4969.52,2015,168219,168219,336438,15.12920732,5.231539224,79.14904153,0.192,4964.69185768514,none,-122.14992452,37.46798847,"2217 Poplar Ave, East Palo Alto, CA 94303, USA"
063301160,462.2811215,559.2852227,Single Family Residential,1947,4202.86,2015,114263,144284,258547,13.30681322,9.33716295,124.2478833,0.692,6020.09020862053,attached,-122.14323524,37.46805414,"2283 Euclid Ave, East Palo Alto, CA 94303, USA"
063171440,953.7717329,449.7805766,Single Family Residential,1988,6048.88,2015,214494,214494,428988,11.54667662,5.113626422,59.04539064,-1,4841.39314846474,none,-122.14816853,37.46801056,"2211 Addison Ave, East Palo Alto, CA 94303, USA"
063262350,201.4320023,562.5223336,Single Family Residential,1947,2452.86,2015,21255,92055,113310,12.33117205,8.824548959,108.8170315,0.615,6054.93414663704,attached,-122.13453159,37.46797439,"2274 Clarke Ave, East Palo Alto, CA 94303, USA"
063191030,397.4455386,832.8436674,Single Family Residential,1940,4910.72,2015,165505,165505,331010,15.09023359,10.07323267,152.007434,0.769,8964.64595152686,detached,-122.14584209,37.46777418,"2242 Dumbarton Ave, Palo Alto, CA 94303, USA"
063302470,232.4134782,933.0396913,Single Family Residential,1952,3674.28,2015,45968,170883,216851,15.59783596,11.61749536,181.207787,0.846,10043.145933184069,detached,-122.14194805,37.46783202,"2263 University Ave, East Palo Alto, CA 94303, USA"
063173020,327.0301037,521.0040241,Single Family Residential,1950,3247.98,2015,85192,85192,170384,20.40818383,6.365587622,129.9100824,0.385,5608.03521500999,attached,-122.14700703,37.46752299,"2248 Oakwood Dr, East Palo Alto, CA 94303, USA"
063381230,83.40377589,2776.037386,Single Family Residential,1916,3637.3,2015,115766,115766,231532,23.30518587,19.32665479,450.4112822,1,29880.9888191654,detached,-122.12871733,37.46747066,"1100 Veronica Ct, East Palo Alto, CA 94303, USA"
