,APN,totVal_m2,area_m2,LU_Desc,yrBuilt,taxAmt,assdsYr,assdLndVal,assdImpVal,assdTotVal,bestRectL,bestRectW,bestRectA,bestScore,area_sqf,adu_type,lng,lat,address,ADDRESS_PO,AREA,ATTACHED_FLAG,DETACHED_FLAG,IMPROVEMEN,LESS_50K,SFHA_FLAG,FLOOD_FLAG,PUC_DESC,BLOCK,BOOK,LOT,SUBLOT,PARCEL_ID,PERIMETER,RETIRE_DAT,REV_DATE,TAXYEAR,LAND,FIXTURES,TOTAL_GROS,EXEM_HOMEO,NET_ASSESS,ASSESSMENT,TRA,PUC,SITUS_CITY,GEOMETRY_L,GEOMETRY_A,CENT_X,CENT_Y
32,63013010,513.2132048999999,944.1222388,Single Family Residential,1953,7048.52,2015,307185,177351,484536,15.83779617,6.897338003,109.2386334,0.635,10162.43736621932,detached,-122.13864476,37.48093373,"1626 Tulane Ave, East Palo Alto, CA 94303, USA",1626 Tulane Ave,10396.02,1.0,1.0,"$180,897.00 ",0.0,1.0,0.0,Single Family Residence,3,63,1,0.0,184049,406.58,,5/25/2007,2017,"$313,328 ",,"$494,225 ",,"$494,225 ",Annual,21019.0,1.0,East Palo Alto,402.0933273,10162.4472,-122.13864479999998,37.48093372
33,63013190,329.77183629999996,715.7463859000001,Single Family Residential,1953,4357.0,2015,134879,101154,236033,15.11808222,8.592707068,129.9052519,0.769,7704.222523189009,detached,-122.13747447,37.48092633,"2789 Hunter St, East Palo Alto, CA 94303, USA",2789 Hunter St,7661.82,1.0,1.0,"$103,177.00 ",0.0,1.0,0.0,Single Family Residence,3,63,19,0.0,184031,375.34,,5/25/2007,2017,"$137,576 ",,"$240,753 ",,"$240,753 ",Annual,21019.0,1.0,East Palo Alto,378.6615256,7704.22998,-122.13747450000001,37.48092633
34,63011160,619.5430195,530.9074425,Single Family Residential,1953,5286.08,2015,164460,164460,328920,13.45560268,5.231539224,70.39351321,0.192,5714.63462032575,attached,-122.13619961,37.48204424,"1755 Tulane Ave, East Palo Alto, CA 94303, USA",1755 Tulane Ave,5441.38,,,"$204,000.00 ",0.0,1.0,0.0,Single Family Residence,1,63,16,0.0,184064,325.09,,5/25/2007,2017,"$581,400 ",,"$785,400 ","$7,000 ","$778,400 ",Annual,21019.0,1.0,East Palo Alto,326.1318876,5714.64015,-122.1361996,37.48204424
35,63011100,75.33324138,511.23513729999996,Single Family Residential,1953,2040.74,2015,8757,29756,38513,13.92668548,5.349474006,74.50044198,0.192,5502.883894383471,attached,-122.13718283,37.48177966,"1711 Tulane Ave, East Palo Alto, CA 94303, USA",1711 Tulane Ave,5458.87,,,"$30,351.00 ",1.0,1.0,1.0,Single Family Residence,1,63,10,0.0,184070,322.82,,5/25/2007,2017,"$8,932 ",,"$39,283 ","$7,000 ","$32,283 ",Annual,21019.0,1.0,East Palo Alto,324.64926099999997,5502.88922,-122.1371828,37.48177965
36,63015240,498.4024628,542.6538193,Single Family Residential,1965,4729.88,2015,166437,104023,270460,11.18147153,5.349474006,59.81499133,0.192,5841.071445563271,attached,-122.13554184,37.48181416,"1770 Tulane Ave, East Palo Alto, CA 94303, USA",1770 Tulane Ave,6087.24,1.0,,"$106,103.00 ",0.0,1.0,0.0,Single Family Residence,5,63,24,0.0,183987,378.24,,5/25/2007,2017,"$169,765 ",,"$275,868 ",,"$275,868 ",Annual,21019.0,1.0,East Palo Alto,369.7204608,5841.077099,-122.13554180000001,37.48181416
37,63022020,490.07443600000005,478.8782739,Single Family Residential,1953,4265.46,2015,117343,117343,234686,11.42889701,6.786678342999999,77.56424782,0.40399999999999997,5154.59785243221,none,-122.13510697,37.48154417,"2855 Fordham St, East Palo Alto, CA 94303, USA",2855 Fordham St,4897.86,,,"$119,689.00 ",0.0,1.0,0.0,Single Family Residence,2,63,2,0.0,183899,297.96,,5/25/2007,2017,"$119,689 ",,"$239,378 ","$7,000 ","$232,378 ",Annual,21031.0,1.0,East Palo Alto,305.50814610000003,5154.602841,-122.135107,37.48154417
38,63013130,504.10643880000003,570.9468832,Single Family Residential,1953,4965.42,2015,143909,143909,287818,12.26561815,5.714448505,70.0912433,0.192,6145.615156076479,attached,-122.13657364,37.48149306,"2853 Georgetown St, East Palo Alto, CA 94303, USA",2853 Georgetown St,6146.78,1.0,,"$153,000.00 ",0.0,1.0,0.0,Single Family Residence,3,63,13,0.0,184037,312.42,,5/25/2007,2017,"$510,000 ",,"$663,000 ",,"$663,000 ",Annual,21019.0,1.0,East Palo Alto,312.7284933,6145.621103,-122.1365736,37.48149306
39,63023070,277.52532610000003,1363.7349980000001,Single Family Residential,1952,5899.74,2015,245845,132626,378471,13.72998246,11.44605937,157.15419440000002,0.6920000000000001,14679.1071449722,detached,-122.13416593,37.48125451,"2871 Drew Ct, Palo Alto, CA 94303, USA",2875 Drew Ct,14460.15,1.0,1.0,"$135,277.00 ",0.0,1.0,0.0,Single Family Residence,3,63,7,0.0,183933,530.37,,5/25/2007,2017,"$250,761 ",,"$386,038 ",,"$386,038 ",Annual,21031.0,1.0,East Palo Alto,532.050078,14679.12135,-122.1341659,37.48125451
40,63024090,336.59628230000004,591.9673224999999,Single Family Residential,1952,3991.56,2015,99627,99627,199254,12.6188969,5.113626422,64.52832461,-1.0,6371.877062657751,attached,-122.13319864,37.48106055,"2850 Illinois St, East Palo Alto, CA 94303, USA",2850 Illinois St,5591.79,1.0,,"$135,660.00 ",0.0,1.0,0.0,Single Family Residence,4,63,9,0.0,183949,323.7,,5/25/2007,2017,"$425,340 ",,"$561,000 ","$7,000 ","$554,000 ",Annual,21031.0,1.0,East Palo Alto,348.0363347,6371.883229,-122.1331986,37.48106055
41,63011150,68.96138289,520.1461818,Single Family Residential,1953,1816.1,2015,9268,26602,35870,12.37147104,5.59668886,69.23927413,0.192,5598.801486277021,attached,-122.13636429,37.48199914,"1743 Tulane Ave, East Palo Alto, CA 94303, USA",1743 Tulane Ave,6196.82,1.0,,"$27,134.00 ",1.0,1.0,1.0,Single Family Residence,1,63,15,0.0,184065,337.79,,5/25/2007,2017,"$9,453 ",,"$36,587 ","$7,000 ","$29,587 ",Annual,21019.0,1.0,East Palo Alto,323.8322473,5598.8069049999995,-122.1363643,37.48199914
